CCD1D200708_145649_x	CCD1D200708_145649_y
489.925069	0.000000	
490.054748	0.000000	
490.184427	0.000000	
490.314106	0.000000	
490.443786	0.000000	
490.573465	0.000000	
490.703144	0.000000	
490.832824	0.000000	
490.962503	0.000000	
491.092182	0.000000	
491.221861	0.000000	
491.351541	0.000000	
491.481220	0.000000	
491.610899	0.000000	
491.740579	0.000000	
491.870258	0.000000	
491.999937	0.000000	
492.129616	0.000000	
492.259296	0.000000	
492.388975	0.000000	
492.518654	0.000000	
492.648334	0.000000	
492.778013	0.000000	
492.907692	0.000000	
493.037371	0.000000	
493.167051	0.000000	
493.296730	0.000000	
493.426409	0.000000	
493.556089	0.000000	
493.685768	0.000000	
493.815447	0.000000	
493.945126	0.000000	
494.074806	0.000000	
494.204485	0.000000	
494.334164	0.000000	
494.463844	0.000000	
494.593523	0.000000	
494.723202	0.000000	
494.852882	0.000000	
494.982561	0.000000	
495.112240	0.000000	
495.241919	0.000000	
495.371599	0.000000	
495.501278	0.000000	
495.630957	0.000000	
495.760637	0.000000	
495.890316	0.000000	
496.019995	0.000000	
496.149674	0.000000	
496.279354	0.000000	
496.409033	0.000000	
496.538712	0.000000	
496.668392	0.000000	
496.798071	0.000000	
496.927750	0.000000	
497.057429	0.000000	
497.187109	0.000000	
497.316788	0.000000	
497.446467	0.000000	
497.576147	0.000000	
497.705826	0.000000	
497.835505	0.000000	
497.965184	0.000000	
498.094864	0.000000	
498.224543	0.000000	
498.354222	0.000000	
498.483902	0.000000	
498.613581	0.000000	
498.743260	0.000000	
498.872939	0.000000	
499.002619	0.000000	
499.132298	0.000000	
499.261977	0.000000	
499.391657	0.000000	
499.521336	0.000000	
499.651015	0.000000	
499.780694	0.000000	
499.910374	0.000000	
500.040053	0.000000	
500.169732	0.000000	
500.299412	0.000000	
500.429091	0.000000	
500.558770	0.000000	
500.688449	0.000000	
500.818129	0.000000	
500.947808	0.000000	
501.077487	0.000000	
501.207167	0.000000	
501.336846	0.000000	
501.466525	0.000000	
501.596204	0.000000	
501.725884	0.000000	
501.855563	0.000000	
501.985242	0.000000	
502.114922	0.000000	
502.244601	0.000000	
502.374280	0.000000	
502.503959	0.000000	
502.633639	0.000000	
502.763318	0.000000	
502.892997	0.000000	
503.022677	0.000000	
503.152356	0.000000	
503.282035	0.000000	
503.411714	0.000000	
503.541394	0.000000	
503.671073	0.000000	
503.800752	0.000000	
503.930432	0.000000	
504.060111	0.000000	
504.189790	0.000000	
504.319469	0.000000	
